索引番号,食品名,エネルギー,たんぱく質,脂質,炭水化物,食塩相当量
254,＜いも類＞（やまのいも類）だいじょ塊根生,102,2.6,0.1,25,0.1
255,＜でん粉・でん粉製品＞（でん粉類）おおうばゆりでん粉,328,0.1,0.1,83.6,0
256,＜でん粉・でん粉製品＞（でん粉類）キャッサバでん粉,354,0.1,0.2,85.3,0
257,＜でん粉・でん粉製品＞（でん粉類）くずでん粉,356,0.2,0.2,85.6,0
258,＜でん粉・でん粉製品＞（でん粉類）米でん粉,375,0.2,0.7,89.3,0
259,＜でん粉・でん粉製品＞（でん粉類）小麦でん粉,360,0.2,0.5,86,0
260,＜でん粉・でん粉製品＞（でん粉類）サゴでん粉,357,0.1,0.2,86.1,0
261,＜でん粉・でん粉製品＞（でん粉類）さつまいもでん粉,340,0.1,0.2,82,0
262,＜でん粉・でん粉製品＞（でん粉類）じゃがいもでん粉,338,0.1,0.1,81.6,0
263,＜でん粉・でん粉製品＞（でん粉類）とうもろこしでん粉,363,0.1,0.7,86.3,0
264,＜でん粉・でん粉製品＞（でん粉製品）くずきり乾,341,0.2,0.2,87.7,0
265,＜でん粉・でん粉製品＞（でん粉製品）くずきりゆで,133,0.1,0.1,33.3,0
266,＜でん粉・でん粉製品＞（でん粉製品）ごま豆腐,75,1.5,4.3,9.1,0
267,＜でん粉・でん粉製品＞（でん粉製品）タピオカパール乾,352,0,0.2,87.8,0
268,＜でん粉・でん粉製品＞（でん粉製品）タピオカパールゆで,61,0,0,15.4,0
269,＜でん粉・でん粉製品＞（でん粉製品）でん粉めん生,129,0.1,0.2,32.2,0
270,＜でん粉・でん粉製品＞（でん粉製品）でん粉めん乾,347,0.2,0.3,86.7,0.1
271,＜でん粉・でん粉製品＞（でん粉製品）でん粉めん乾ゆで,83,0,0.2,20.6,0
272,＜でん粉・でん粉製品＞（でん粉製品）はるさめ緑豆はるさめ乾,344,0.2,0.4,87.5,0
273,＜でん粉・でん粉製品＞（でん粉製品）はるさめ緑豆はるさめゆで,78,0,0.1,20.6,0
274,＜でん粉・でん粉製品＞（でん粉製品）はるさめ普通はるさめ乾,346,0,0.2,86.6,0
275,＜でん粉・でん粉製品＞（でん粉製品）はるさめ普通はるさめゆで,76,0,0,19.9,0
276,（砂糖類）黒砂糖,352,1.7,0,90.3,0.1
277,（砂糖類）てんさい含蜜糖,357,0.9,0,96.9,0.1
278,（砂糖類）和三盆糖,393,0.2,0,99,0
279,（砂糖類）車糖上白糖,391,0,0,99.3,0
280,（砂糖類）車糖三温糖,390,0,0,99,0
281,（砂糖類）ざらめ糖グラニュー糖,393,0,0,100,0
282,（砂糖類）ざらめ糖白ざら糖,393,0,0,100,0
283,（砂糖類）ざらめ糖中ざら糖,393,0,0,100,0
284,（砂糖類）加工糖角砂糖,394,0,0,100,0
285,（砂糖類）加工糖氷砂糖,394,0,0,100,0
286,（砂糖類）加工糖コーヒーシュガー,394,0.1,0,99.8,0
287,（砂糖類）加工糖粉糖,393,0,0,99.7,0
288,（砂糖類）液糖しょ糖型液糖,267,0,0,67.9,0
289,（砂糖類）液糖転化型液糖,294,0,0,76.6,0
290,（砂糖類）氷糖みつ,274,0.2,0,68.2,0
291,（でん粉糖類）還元麦芽糖,208,0,0,100,0
292,（でん粉糖類）還元水あめ,218,0,0,69.9,0
293,（でん粉糖類）粉あめ,397,0,0,97,0
294,（でん粉糖類）水あめ酵素糖化,342,0,0,85,0
295,（でん粉糖類）水あめ酸糖化,341,0,0,85,0
296,（でん粉糖類）ぶどう糖全糖,342,0,0,91,0
297,（でん粉糖類）ぶどう糖含水結晶,342,0,0,91.3,0
298,（でん粉糖類）ぶどう糖無水結晶,374,0,0,99.7,0
299,（でん粉糖類）果糖,375,0,0,99.9,0
300,（でん粉糖類）異性化液糖ぶどう糖果糖液糖,283,0,0,75,0
301,（でん粉糖類）異性化液糖果糖ぶどう糖液糖,283,0,0,75,0
302,（でん粉糖類）異性化液糖高果糖液糖,282,0,0,75,0
303,（その他）黒蜜,199,1,0,50.5,0
304,（その他）はちみつ,329,0.3,0,81.9,0
305,（その他）メープルシロップ,266,0.1,0,66.3,0
306,あずき全粒乾,304,20.8,2,59.6,0
307,あずき全粒ゆで,122,8.6,0.8,25.6,0
308,あずきゆで小豆缶詰,202,4.4,0.4,49.2,0.2
309,あずきあんこし生あん,147,9.8,0.6,27.1,0
310,あずきあんさらしあん（乾燥あん）,335,23.5,1,66.8,0
311,あずきあんこし練りあん（並あん）,255,-5.6,-0.3,-58.8,0
312,あずきあんこし練りあん（中割りあん）,262,-5.1,-0.3,-61.1,0
313,あずきあんこし練りあん（もなかあん）,292,-5.1,-0.3,-68.6,0
314,あずきあんつぶし練りあん,239,5.6,0.6,54,0.1
315,いんげんまめ全粒乾,280,22.1,2.5,56.4,0
316,いんげんまめ全粒ゆで,127,9.3,1.2,24.5,0
317,いんげんまめうずら豆,214,6.7,1.3,49.6,0.3
318,いんげんまめこし生あん,135,9.4,0.9,27,0
319,いんげんまめ豆きんとん,238,4.9,0.5,56.2,0.3
320,えんどう全粒青えんどう乾,310,21.7,2.3,60.4,0
321,えんどう全粒青えんどうゆで,129,9.2,1,25.2,0
322,えんどう全粒赤えんどう乾,310,21.7,2.3,60.4,0
323,えんどう全粒赤えんどうゆで,129,9.2,1,25.2,0
324,えんどうグリンピース（揚げ豆）,375,20.8,11.6,58.8,0.9
325,えんどう塩豆,321,23.3,2.4,61.5,1.5
326,えんどううぐいす豆,228,5.6,0.7,52.9,0.4
327,ささげ全粒乾,280,23.9,2,55,0
328,ささげ全粒ゆで,130,10.2,0.9,23.8,0
329,そらまめ全粒乾,323,26,2,55.9,0
330,そらまめフライビーンズ,436,24.7,20.8,46.4,1.8
331,そらまめおたふく豆,237,7.9,1.2,52.2,0.4
332,そらまめふき豆,251,9.6,1.6,52.5,0.8
333,そらまめしょうゆ豆,173,9.8,0.9,37.1,1.2
334,だいず［全粒・全粒製品］全粒青大豆国産乾,354,33.5,19.3,30.1,0
335,だいず［全粒・全粒製品］全粒青大豆国産ゆで,145,15,8.2,9.9,0
336,だいず［全粒・全粒製品］全粒黄大豆国産乾,372,33.8,19.7,29.5,0
337,だいず［全粒・全粒製品］全粒黄大豆国産ゆで,163,14.8,9.8,8.4,0
338,だいず［全粒・全粒製品］全粒黄大豆米国産乾,402,33,21.7,28.8,0
339,だいず［全粒・全粒製品］全粒黄大豆中国産乾,391,32.8,19.5,30.8,0
340,だいず［全粒・全粒製品］全粒黄大豆ブラジル産乾,414,33.6,22.6,30.7,0
341,だいず［全粒・全粒製品］全粒黒大豆国産乾,349,33.9,18.8,28.9,0
342,だいず［全粒・全粒製品］全粒黒大豆国産ゆで,155,14.7,8.6,9.8,0
343,だいず［全粒・全粒製品］いり大豆青大豆,425,37.7,20.7,33.9,0
344,だいず［全粒・全粒製品］いり大豆黄大豆,429,37.5,21.6,33.3,0
